season,round,url,raceName,date,circuitId,time
1959,1,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,Monaco Grand Prix,1959-05-10,monaco,
1959,2,http://en.wikipedia.org/wiki/1959_Indianapolis_500,Indianapolis 500,1959-05-30,indianapolis,
1959,3,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,Dutch Grand Prix,1959-05-31,zandvoort,
1959,4,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,French Grand Prix,1959-07-05,reims,
1959,5,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,British Grand Prix,1959-07-18,aintree,
1959,6,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,German Grand Prix,1959-08-02,avus,
1959,7,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,Portuguese Grand Prix,1959-08-23,monsanto,
1959,8,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,Italian Grand Prix,1959-09-13,monza,
1959,9,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,United States Grand Prix,1959-12-12,sebring,
1963,1,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,Monaco Grand Prix,1963-05-26,monaco,
1963,2,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,Belgian Grand Prix,1963-06-09,spa,
1963,3,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,Dutch Grand Prix,1963-06-23,zandvoort,
1963,4,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,French Grand Prix,1963-06-30,reims,
1963,5,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,British Grand Prix,1963-07-20,silverstone,
1963,6,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,German Grand Prix,1963-08-04,nurburgring,
1963,7,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,Italian Grand Prix,1963-09-08,monza,
1963,8,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,United States Grand Prix,1963-10-06,watkins_glen,
1963,9,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,Mexican Grand Prix,1963-10-27,rodriguez,
1963,10,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,South African Grand Prix,1963-12-28,george,
1975,1,http://en.wikipedia.org/wiki/1975_Argentine_Grand_Prix,Argentine Grand Prix,1975-01-12,galvez,
1975,2,http://en.wikipedia.org/wiki/1975_Brazilian_Grand_Prix,Brazilian Grand Prix,1975-01-26,interlagos,
